city,lat,lng,country,iso2,admin_name,capital,population,population_proper
תל אביב-יפו,32.08,34.78,Israel,IL,Tel Aviv,admin,1388400,451523
ירושלים,31.7784,35.2066,Israel,IL,Jerusalem,primary,919438,919438
חיפה,32.8192,34.9992,Israel,IL,Haifa,admin,600000,281087
ראשון לציון,31.95,34.8,Israel,IL,Central,,249860,249860
פתח תקווה,32.0889,34.8864,Israel,IL,Central,,236169,236169
אשדוד,31.8,34.65,Israel,IL,Southern,,220174,220174
נתניה,32.3286,34.8567,Israel,IL,Central,,217244,217200
באר שבע,31.2589,34.7997,Israel,IL,Southern,admin,209000,209000
חולון,32.0167,34.7667,Israel,IL,Tel Aviv,,194300,194300
בני ברק,32.0833,34.8333,Israel,IL,Tel Aviv,,193774,193774
רמת גן,32.07,34.8236,Israel,IL,Tel Aviv,,159200,159200
אשקלון,31.6667,34.5667,Israel,IL,Southern,,134454,134454
רחובות,31.8981,34.8081,Israel,IL,Central,,132671,132671
בת ים,32.0167,34.75,Israel,IL,Tel Aviv,,128800,128800
בית שמש,31.7456,34.9867,Israel,IL,Jerusalem,,118700,118700
כפר סבא,32.1714,34.9083,Israel,IL,Central,,100800,100800
חדרה,32.45,34.9167,Israel,IL,Haifa,,95700,95700
הרצליה,32.1653,34.8458,Israel,IL,Tel Aviv,,93989,93989
מודיעין מכבים רעות,31.9077,35.0076,Israel,IL,Central,,90013,90013
נצרת,32.7019,35.3033,Israel,IL,Northern,admin,83400,83400
לוד,31.9519,34.8881,Israel,IL,Central,,75700,75700
רמלה,31.9275,34.8625,Israel,IL,Central,admin,75500,75500
רעננה,32.1833,34.8667,Israel,IL,Central,,74000,74000
רהט,31.3925,34.7544,Israel,IL,Southern,,64462,64462
קריית גת,31.6061,34.7717,Israel,IL,Southern,,61817,61817
נהריה,33.0058,35.0989,Israel,IL,Northern,,60000,60000
עפולה,32.6064,35.2881,Israel,IL,Northern,,60000,60000
גבעתיים,32.0714,34.81,Israel,IL,Tel Aviv,,59518,59518
הוד השרון,32.15,34.8833,Israel,IL,Central,,56659,56659
ראש העין,32.0956,34.9567,Israel,IL,Central,,56300,56300
קרית אתא,32.8,35.1,Israel,IL,Haifa,,55464,55464
אום אל פאחם,32.5194,35.1536,Israel,IL,Haifa,,55300,55300
אילת,29.5569,34.9517,Israel,IL,Southern,,51935,51935
נס ציונה,31.9333,34.8,Israel,IL,Central,,50200,50200
עכו,32.9278,35.0817,Israel,IL,Northern,,48900,48900
אלעד,32.0522,34.9511,Israel,IL,Central,,46896,46896
רמת השרון,32.15,34.8333,Israel,IL,Tel Aviv,,46700,46700
כרמיאל,32.9136,35.2961,Israel,IL,Northern,,45300,45300
טבריה,32.7944,35.5333,Israel,IL,Northern,,44200,44200
טייבה,32.2667,35.0103,Israel,IL,Central,,43100,43100
בן זכאי,31.8558,34.73,Israel,IL,Central,,42314,42314
פרדס חנה כרכור,32.4711,34.9675,Israel,IL,Haifa,,42100,42100
קרית מוצקין,32.8333,35.0833,Israel,IL,Haifa,,42000,42000
קרית אונו,32.0636,34.8553,Israel,IL,Tel Aviv,,41900,41900
שפרעם,32.8056,35.1694,Israel,IL,Northern,,41600,41600
קרית ביאליק,32.8333,35.0833,Israel,IL,Haifa,,39900,39900
קרית ים,32.8333,35.0667,Israel,IL,Haifa,,39416,39416
אור יהודה,32.0333,34.85,Israel,IL,Tel Aviv,,36706,36706
מעלות תרשיחא,33.0167,35.2708,Israel,IL,Northern,,36000,36000
צפת,32.9658,35.4983,Israel,IL,Northern,,35700,35700
דימונה,31.0667,35.0333,Israel,IL,Southern,,34135,34135
תמרה,32.8536,35.1978,Israel,IL,Northern,,34000,34000
נתיבות,31.4167,34.5833,Israel,IL,Southern,,31314,31314
סכנין,32.8667,35.3,Israel,IL,Northern,,31100,31100
יהוד,32.0333,34.8833,Israel,IL,Central,,29146,29146
אל בואטייה,32.9087,35.632,Israel,IL,Northern,minor,,
אל חושניה,32.9994,35.8108,Israel,IL,Northern,minor,,
פיק,32.7793,35.7003,Israel,IL,Northern,minor,,
